month,heart_disease,hypertension,diabetes,obesity
1,1102,1283,468,40
2,2051,2292,823,87
3,3059,3390,1235,115
4,4008,4374,1608,140
5,4833,5146,1879,170
6,5621,5948,2158,202
7,6263,6484,2340,218
8,6866,7082,2574,241
9,7425,7577,2793,268
10,8049,8240,2998,298
11,8796,9008,3280,321
12,9510,9771,3530,345
13,10227,10466,3767,363
14,11022,11221,4036,402
15,11815,11984,4291,423
16,12470,12623,4503,449
17,13147,13259,4724,479
18,13667,13778,4912,498
19,14102,14149,5051,518
20,14626,14626,5254,554
21,15066,15037,5398,578
22,15732,15639,5670,601
23,16351,16252,5885,637
24,16904,16860,6108,654
25,17499,17484,6334,676
26,18076,18062,6564,700
27,18710,18710,6799,724
28,19250,19233,7012,752
29,19818,19801,7231,786
30,20188,20157,7386,802
31,20594,20557,7573,832
32,20990,20923,7745,847
33,21386,21303,7891,870
34,21922,21809,8106,896
35,22469,22394,8336,912
36,23007,22959,8517,943
37,23609,23556,8737,987
38,24078,24091,8927,1013
39,24544,24596,9110,1050
40,24924,24980,9259,1070
41,25302,25341,9415,1097
42,25609,25617,9538,1120
43,25940,25938,9702,1157
44,26209,26184,9832,1190
45,26518,26502,9977,1227
46,26901,26940,10147,1259
47,27287,27387,10325,1307
48,27663,27808,10503,1336
49,28075,28221,10682,1388
50,28508,28670,10866,1447
51,28844,29083,11074,1511
52,29217,29517,11274,1563
53,29524,29875,11441,1606
54,29758,30134,11569,1639
55,30060,30445,11726,1665
56,30267,30653,11826,1697
57,30582,31003,11982,1733
58,30929,31391,12144,1782
59,31253,31798,12335,1828
60,31624,32234,12542,1881
61,31939,32641,12707,1937
62,32269,33028,12887,1989
63,32513,33347,12998,2014
64,32654,33496,13032,2018
65,32838,33703,13116,2029
66,33087,33965,13247,2050
67,33365,34258,13405,2095
68,33690,34581,13525,2117
69,34020,34908,13656,2155
70,34392,35285,13823,2197
71,34712,35688,13988,2234
72,35031,35988,14122,2256
